filename	file_size_MB	spectrum_count	relative_path
UHM41-22466_MS1.mzML	17.94	3548	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM41-22466_MS1.mzML
UHM56-22416_MS1.mzML	13.86	1455	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM56-22416_MS1.mzML
UHM22-22458_MS1.mzML	15.03	2553	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM22-22458_MS1.mzML
UHM102-22454_MS1.mzML	12.31	1572	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM102-22454_MS1.mzML
UHM31-22462_MS1.mzML	14.55	2372	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM31-22462_MS1.mzML
UHM125-22432_MS1.mzML	12.74	1632	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM125-22432_MS1.mzML
UHM17-22401.mzML	81.64	15420	MSV000095549/raw/UHM17-22401.mzML
UHM45-22436.mzML	84.00	15520	MSV000095549/raw/UHM45-22436.mzML
BE3.mzML	79.80	15495	MSV000095549/raw/BE3.mzML
UHM22-22460.mzML	82.52	15525	MSV000095549/raw/UHM22-22460.mzML
UHM41-22466.mzML	76.19	15346	MSV000095549/raw/UHM41-22466.mzML
UHM56-22416.mzML	89.30	15750	MSV000095549/raw/UHM56-22416.mzML
UHM145-22424.mzML	88.38	15751	MSV000095549/raw/UHM145-22424.mzML
UHM102-10855.mzML	81.43	15528	MSV000095549/raw/UHM102-10855.mzML
Blank-withIS_2.mzML	73.88	15519	MSV000095549/raw/Blank-withIS_2.mzML
UHM40-22412.mzML	77.90	15330	MSV000095549/raw/UHM40-22412.mzML
UHM72-22446.mzML	81.18	15535	MSV000095549/raw/UHM72-22446.mzML
UHM20-22444.mzML	78.30	15358	MSV000095549/raw/UHM20-22444.mzML
BE2.mzML	76.72	15440	MSV000095549/raw/BE2.mzML
UHM45-10853.mzML	86.68	15667	MSV000095549/raw/UHM45-10853.mzML
UHM31-22464.mzML	86.69	15696	MSV000095549/raw/UHM31-22464.mzML
UHM18-10842.mzML	79.47	15328	MSV000095549/raw/UHM18-10842.mzML
Blank-withIS_3.mzML	74.91	15537	MSV000095549/raw/Blank-withIS_3.mzML
Blank_MeOH.mzML	74.36	15267	MSV000095549/raw/Blank_MeOH.mzML
UHM43-10851.mzML	84.87	15672	MSV000095549/raw/UHM43-10851.mzML
UHM17-10841.mzML	80.65	15525	MSV000095549/raw/UHM17-10841.mzML
UHM18-22440.mzML	80.21	15436	MSV000095549/raw/UHM18-22440.mzML
UHM20-10843.mzML	81.98	15499	MSV000095549/raw/UHM20-10843.mzML
UHM22-22458.mzML	78.87	15375	MSV000095549/raw/UHM22-22458.mzML
UHM33-10846.mzML	78.73	15297	MSV000095549/raw/UHM33-10846.mzML
UHM102-22452.mzML	83.61	15664	MSV000095549/raw/UHM102-22452.mzML
UHM41-10850.mzML	78.25	15467	MSV000095549/raw/UHM41-10850.mzML
UHM36-10847.mzML	80.61	15450	MSV000095549/raw/UHM36-10847.mzML
UHM125-22428.mzML	80.22	15400	MSV000095549/raw/UHM125-22428.mzML
UHM36-22406.mzML	77.72	15385	MSV000095549/raw/UHM36-22406.mzML
UHM125-22430.mzML	80.04	15373	MSV000095549/raw/UHM125-22430.mzML
UHM31-10845.mzML	81.63	15409	MSV000095549/raw/UHM31-10845.mzML
UHM38-22420.mzML	82.45	15566	MSV000095549/raw/UHM38-22420.mzML
UHM36-22408.mzML	79.36	15471	MSV000095549/raw/UHM36-22408.mzML
UHM38-10848.mzML	79.44	15332	MSV000095549/raw/UHM38-10848.mzML
UHM56-10854.mzML	80.80	15336	MSV000095549/raw/UHM56-10854.mzML
