filename	filename_ms1	sample_id	subject_id	replicate_or_accession	sample_type	species	tissue	collection_date	treatment_group	notes	host_genus	host_species	host_sex	animal_type	collection_event	treatment	egg_mass	tank	geo_loc_name	state	gps_lat	gps_lon	collector	metamorphosis_date	basidiobolus_feeding_date	parent_biosample_collection_date	chem_sample_type	n_pooled_biosamples	animal_notes_lab
BE1.mzML	BE1_MS1.mzML	BE1			QC_blank_extract																								
BE2.mzML	BE2_MS1.mzML	BE2			QC_blank_extract																								
BE3.mzML	BE3_MS1.mzML	BE3			QC_blank_extract																								
Blank_MeOH.mzML	Blank_MeOH_MS1.mzML	Blank_MeOH			QC_blank_solvent																								
Blank-withIS_1.mzML	Blank-withIS_1_MS1.mzML	Blank-withIS_1			QC_blank_with_internal_standard																								
Blank-withIS_2.mzML	Blank-withIS_2_MS1.mzML	Blank-withIS_2			QC_blank_with_internal_standard																								
Blank-withIS_3.mzML	Blank-withIS_3_MS1.mzML	Blank-withIS_3			QC_blank_with_internal_standard																								
UHM17-22403.mzML	UHM17-22403_MS1.mzML	UHM17-22403	UHM17	22403.0	sample	Lithobates sylvaticus	fecal	2022-05-12	STP1710.7 pilot		Lithobates	sylvaticus		frog	Walker	STP1710.7 pilot	3.0	3.0	Bridgestone Firestone WMA	TN			Romer	2022-03-02	2022-03-10	2022-05-12		17.0	
UHM18-10842.mzML	UHM18-10842_MS1.mzML	UHM18-10842	UHM18	10842.0	sample	Lithobates sylvaticus	fecal	2022-03-11	STP1717.1 pilot		Lithobates	sylvaticus		frog	Walker	STP1717.1 pilot	3.0	5.0	Bridgestone Firestone WMA	TN			Romer	2022-03-03	2022-03-10	2022-03-11		15.0	
UHM18-22438.mzML	UHM18-22438_MS1.mzML	UHM18-22438	UHM18	22438.0	sample	Lithobates sylvaticus	fecal	2022-04-07	STP1717.1 pilot		Lithobates	sylvaticus		frog	Walker	STP1717.1 pilot	3.0	5.0	Bridgestone Firestone WMA	TN			Romer	2022-03-03	2022-03-10	2022-04-07		11.0	
UHM18-22440.mzML	UHM18-22440_MS1.mzML	UHM18-22440	UHM18	22440.0	sample	Lithobates sylvaticus	fecal	2022-05-09	STP1717.1 pilot		Lithobates	sylvaticus		frog	Walker	STP1717.1 pilot	3.0	5.0	Bridgestone Firestone WMA	TN			Romer	2022-03-03	2022-03-10	2022-05-09		17.0	
UHM20-10843.mzML	UHM20-10843_MS1.mzML	UHM20-10843	UHM20	10843.0	sample	Lithobates sylvaticus	fecal	2022-03-11	STP1710.7 pilot		Lithobates	sylvaticus		frog	Walker	STP1710.7 pilot	3.0	5.0	Bridgestone Firestone WMA	TN			Romer	2022-03-04	2022-03-10	2022-03-11		14.0	
UHM20-22442.mzML	UHM20-22442_MS1.mzML	UHM20-22442	UHM20	22442.0	sample	Lithobates sylvaticus	fecal	2022-04-11	STP1710.7 pilot		Lithobates	sylvaticus		frog	Walker	STP1710.7 pilot	3.0	5.0	Bridgestone Firestone WMA	TN			Romer	2022-03-04	2022-03-10	2022-04-11		11.0	
UHM20-22444.mzML	UHM20-22444_MS1.mzML	UHM20-22444	UHM20	22444.0	sample	Lithobates sylvaticus	fecal	2022-05-09	STP1710.7 pilot		Lithobates	sylvaticus		frog	Walker	STP1710.7 pilot	3.0	5.0	Bridgestone Firestone WMA	TN			Romer	2022-03-04	2022-03-10	2022-05-09		12.0	
UHM22-22456.mzML	UHM22-22456_MS1.mzML	UHM22-22456	UHM22	22456.0	sample	Lithobates sylvaticus	fecal	2022-03-14	control		Lithobates	sylvaticus		frog	Walker	control	2.0	2.0	Bridgestone Firestone WMA	TN			Romer	2022-03-07	2022-03-12	2022-03-14		16.0	
UHM22-22458.mzML	UHM22-22458_MS1.mzML	UHM22-22458	UHM22	22458.0	sample	Lithobates sylvaticus	fecal	2022-04-12	control		Lithobates	sylvaticus		frog	Walker	control	2.0	2.0	Bridgestone Firestone WMA	TN			Romer	2022-03-07	2022-03-12	2022-04-12		18.0	
UHM22-22460.mzML	UHM22-22460_MS1.mzML	UHM22-22460	UHM22	22460.0	sample	Lithobates sylvaticus	fecal	2022-05-12	control		Lithobates	sylvaticus		frog	Walker	control	2.0	2.0	Bridgestone Firestone WMA	TN			Romer	2022-03-07	2022-03-12	2022-05-12		20.0	
UHM27-10844.mzML	UHM27-10844_MS1.mzML	UHM27-10844	UHM27	10844.0	sample	Lithobates sylvaticus	fecal	2022-03-17	control		Lithobates	sylvaticus		frog	Walker	control	3.0	5.0	Bridgestone Firestone WMA	TN			Romer	2022-03-07	2022-03-16	2022-03-17		13.0	
UHM31-10845.mzML	UHM31-10845_MS1.mzML	UHM31-10845	UHM31	10845.0	sample	Lithobates sylvaticus	fecal	2022-03-18	STP1717.1 pilot		Lithobates	sylvaticus		frog	Walker	STP1717.1 pilot	1.0	4.0	Bridgestone Firestone WMA	TN			Romer	2022-03-08	2022-03-16	2022-03-18		9.0	
UHM31-22462.mzML	UHM31-22462_MS1.mzML	UHM31-22462	UHM31	22462.0	sample	Lithobates sylvaticus	fecal	2022-04-11	STP1717.1 pilot		Lithobates	sylvaticus		frog	Walker	STP1717.1 pilot	1.0	4.0	Bridgestone Firestone WMA	TN			Romer	2022-03-08	2022-03-16	2022-04-11		15.0	
UHM31-22464.mzML	UHM31-22464_MS1.mzML	UHM31-22464	UHM31	22464.0	sample	Lithobates sylvaticus	fecal	2022-05-11	STP1717.1 pilot		Lithobates	sylvaticus		frog	Walker	STP1717.1 pilot	1.0	4.0	Bridgestone Firestone WMA	TN			Romer	2022-03-08	2022-03-16	2022-05-11		17.0	
UHM33-10846.mzML	UHM33-10846_MS1.mzML	UHM33-10846	UHM33	10846.0	sample	Lithobates sylvaticus	fecal	2022-03-18	STP1717.1 pilot		Lithobates	sylvaticus		frog	Walker	STP1717.1 pilot	1.0	1.0	Bridgestone Firestone WMA	TN			Romer	2022-03-09	2022-03-16	2022-03-18		12.0	
UHM36-10847.mzML	UHM36-10847_MS1.mzML	UHM36-10847	UHM36	10847.0	sample	Lithobates sylvaticus	fecal	2022-03-17	control		Lithobates	sylvaticus		frog	Walker	control	3.0	3.0	Bridgestone Firestone WMA	TN			Romer	2022-03-09	2022-03-16	2022-03-17		14.0	
UHM36-22406.mzML	UHM36-22406_MS1.mzML	UHM36-22406	UHM36	22406.0	sample	Lithobates sylvaticus	fecal	2022-04-11	control		Lithobates	sylvaticus		frog	Walker	control	3.0	3.0	Bridgestone Firestone WMA	TN			Romer	2022-03-09	2022-03-16	2022-04-11		16.0	
UHM36-22408.mzML	UHM36-22408_MS1.mzML	UHM36-22408	UHM36	22408.0	sample	Lithobates sylvaticus	fecal	2022-05-16	control		Lithobates	sylvaticus		frog	Walker	control	3.0	3.0	Bridgestone Firestone WMA	TN			Romer	2022-03-09	2022-03-16	2022-05-16		6.0	
UHM38-10848.mzML	UHM38-10848_MS1.mzML	UHM38-10848	UHM38	10848.0	sample	Lithobates sylvaticus	fecal	2022-03-17	control		Lithobates	sylvaticus		frog	Walker	control	3.0	5.0	Bridgestone Firestone WMA	TN			Romer	2022-03-09	2022-03-16	2022-03-17		16.0	
UHM38-22418.mzML	UHM38-22418_MS1.mzML	UHM38-22418	UHM38	22418.0	sample	Lithobates sylvaticus	fecal	2022-04-07	control		Lithobates	sylvaticus		frog	Walker	control	3.0	5.0	Bridgestone Firestone WMA	TN			Romer	2022-03-09	2022-03-16	2022-04-07		16.0	
UHM38-22420.mzML	UHM38-22420_MS1.mzML	UHM38-22420	UHM38	22420.0	sample	Lithobates sylvaticus	fecal	2022-05-06	control		Lithobates	sylvaticus		frog	Walker	control	3.0	5.0	Bridgestone Firestone WMA	TN			Romer	2022-03-09	2022-03-16	2022-05-06		14.0	
UHM40-10849.mzML	UHM40-10849_MS1.mzML	UHM40-10849	UHM40	10849.0	sample	Lithobates sylvaticus	fecal	2022-03-17	STP1717.1 pilot		Lithobates	sylvaticus		frog	Walker	STP1717.1 pilot	3.0	3.0	Bridgestone Firestone WMA	TN			Romer	2022-03-10	2022-03-15	2022-03-17		14.0	
UHM40-22410.mzML	UHM40-22410_MS1.mzML	UHM40-22410	UHM40	22410.0	sample	Lithobates sylvaticus	fecal	2022-04-11	STP1717.1 pilot		Lithobates	sylvaticus		frog	Walker	STP1717.1 pilot	3.0	3.0	Bridgestone Firestone WMA	TN			Romer	2022-03-10	2022-03-15	2022-04-11		13.0	
