filename,PCo1,PCo2,PCo3,PCo4,PCo5,sample_id,subject_id,treatment_group,days_post_feeding,days_post_metamorphosis
UHM17-22401.mzML,0.01684035396977788,0.017315779588318148,-0.033353445547606025,-0.017167227646060924,0.04721218693015999,UHM17-22401,UHM17,STP1710.7 pilot,32.0,40.0
UHM17-22403.mzML,0.0781416182323035,-0.01596230062242284,0.10462475447773417,-0.01222002326397658,0.007723902637980984,UHM17-22403,UHM17,STP1710.7 pilot,63.0,71.0
UHM18-10842.mzML,-0.48040124204298695,-0.14333965213831934,0.17935785317319047,0.0021350686465774916,-0.05047139280576833,UHM18-10842,UHM18,STP1717.1 pilot,1.0,8.0
UHM18-22438.mzML,0.02996093016121864,-0.07648684357632911,-0.02000062426858697,-0.03810755378694717,0.013222907613404129,UHM18-22438,UHM18,STP1717.1 pilot,28.0,35.0
UHM18-22440.mzML,0.01046601142018926,-0.05730472603022,0.01395252904735482,-0.0019492357581998368,-0.004680584160226719,UHM18-22440,UHM18,STP1717.1 pilot,60.0,67.0
UHM20-10843.mzML,-0.0838474303539762,0.1462987016315874,0.025427922654578248,-0.04331303475525785,0.025325531857532717,UHM20-10843,UHM20,STP1710.7 pilot,1.0,7.0
UHM20-22442.mzML,-0.0007749602969188955,-0.08271279305297947,-0.10767916547499276,0.013652763518152429,0.012085260571924966,UHM20-22442,UHM20,STP1710.7 pilot,32.0,38.0
UHM20-22444.mzML,0.071197740274994,-0.09456500078701707,-0.050167696465346856,-0.04018610445476473,0.03095043236704958,UHM20-22444,UHM20,STP1710.7 pilot,60.0,66.0
UHM31-10845.mzML,-0.014213217779888584,0.15112003229717222,0.024889855429686004,-0.045679919376559276,-0.007165360582755089,UHM31-10845,UHM31,STP1717.1 pilot,2.0,10.0
UHM31-22462.mzML,0.015310655329766961,-0.09327197899245412,-0.06121980020692342,-0.0027045238014721308,0.01930398074842469,UHM31-22462,UHM31,STP1717.1 pilot,26.0,34.0
UHM31-22464.mzML,0.10973295994757408,-0.005619122045367112,0.10924520409723058,0.2307002340555558,0.00985260297915574,UHM31-22464,UHM31,STP1717.1 pilot,56.0,64.0
UHM33-10846.mzML,-0.08582302331281386,0.12842697747947732,-0.06896718799317024,-0.00411096836652082,0.009743895222485253,UHM33-10846,UHM33,STP1717.1 pilot,2.0,9.0
UHM40-10849.mzML,-0.15186254087543674,0.030972587949035093,-0.038662746935960314,0.02196503526708727,0.026430694733024652,UHM40-10849,UHM40,STP1717.1 pilot,2.0,7.0
UHM40-22410.mzML,0.02689648905693298,-0.006258544799702319,-0.07957435987285141,-0.0138035677199332,-0.03751125314539619,UHM40-22410,UHM40,STP1717.1 pilot,27.0,32.0
UHM40-22412.mzML,0.008497195884732042,-0.06139387767634516,-0.08951038456987793,-0.006717941942061033,-0.018455085331217962,UHM40-22412,UHM40,STP1717.1 pilot,59.0,64.0
UHM41-10850.mzML,-0.07996444312140322,0.10148117893077717,-0.10817024984670087,-0.029723188431472217,-0.0793939144955697,UHM41-10850,UHM41,STP1710.7 pilot,2.0,7.0
UHM41-22466.mzML,0.008762312204111581,-0.1051628406803093,-0.10403142859444924,0.019585784561546127,0.018197118086243594,UHM41-22466,UHM41,STP1710.7 pilot,27.0,32.0
UHM41-22468.mzML,-0.008963675643543738,-0.10677715565055597,-0.013326637689099786,0.011232352016709957,-0.010078277582269004,UHM41-22468,UHM41,STP1710.7 pilot,57.0,62.0
UHM44-10852.mzML,-0.11583909120650308,0.07376771692542552,-0.046938180660490186,-0.0036113965237584227,-0.017172140769498752,UHM44-10852,UHM44,STP1717.1 pilot,3.0,8.0
UHM45-10853.mzML,-0.004319968887040489,0.13644791530493008,0.11396367835447394,-0.06153535801681527,-0.029066057299959442,UHM45-10853,UHM45,STP1710.7 pilot,2.0,7.0
UHM45-22434.mzML,-0.02717560239126555,-0.12705774514592189,-0.052651373272655594,0.04993896324056425,-0.014339393948650535,UHM45-22434,UHM45,STP1710.7 pilot,27.0,32.0
UHM45-22436.mzML,0.06607721134448558,-0.018976239649751824,0.07088150922856878,-0.04597107903785407,-0.034542357249261406,UHM45-22436,UHM45,STP1710.7 pilot,55.0,60.0
